train_loss,train_acc,val_loss,val_acc
1.2359041309283103,0.5219135802469136,0.757265494668425,0.7432098765432099
0.5782887223050183,0.8160493827160494,0.5584996801622102,0.8308641975308642
0.3008180949423048,0.9197530864197531,0.4954747910441583,0.8888888888888888
0.2826437304543768,0.9339506172839506,0.44550895601914725,0.9037037037037037
0.25886812166161377,0.945679012345679,0.49593195406229146,0.9067901234567901
0.2323036609296572,0.953395061728395,0.5528058942021421,0.8993827160493827
0.22577663608603926,0.9561728395061728,0.4087516627249507,0.9253086419753086
0.23406313964737763,0.9575617283950617,0.531010094373441,0.9166666666666666
0.17981444077079764,0.9654320987654321,0.8089618864123712,0.8808641975308642
0.16159965704887944,0.9708333333333333,0.680102761963103,0.9067901234567901
0.1525876843228212,0.9734567901234568,0.5962839559628256,0.9203703703703704
0.11825337147740446,0.9817901234567902,0.7848438584507963,0.9
